baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,sqft,stories,year_built,price_reduced_amount,latitude,longitude,sub_type_townhouse,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_single_family,type_townhomes,is_price_reduced_True
2.0,0.0,0.0,2.0,0.0,6.0,0.0,3049.0,0.0,0.0,1920.0,0.0,42.64016,-73.78359,0,0,0,0,0,0,1,0,0,0
2.0,0.0,0.0,2.0,0.0,2.0,0.0,1045.0,1059.0,1.0,2005.0,3000.0,33.729953,-84.364263,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,7804.0,1794.0,1.0,2015.0,23000.0,39.205283,-75.581463,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,5227.0,1224.0,2.0,1954.0,0.0,43.099978,-89.333131,0,0,0,0,0,0,0,1,0,0
3.0,0.0,2.0,1.0,0.0,6.0,2.0,6970.0,2830.0,2.0,1988.0,0.0,40.639056,-111.999023,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,8712.0,1700.0,1.0,1969.0,0.0,34.755695,-92.379411,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,1.0,1742.0,1507.0,2.0,2007.0,2000.0,35.827576,-78.589204,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,4.0,2.0,7266.0,1139.0,1.0,1972.0,0.0,38.560404,-121.372315,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,1.0,9583.0,1681.0,2.0,1961.0,0.0,34.749207,-92.400332,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,22695.0,1970.0,2.0,1940.0,5100.0,38.186852,-84.793805,0,0,0,0,0,0,0,1,0,0
4.0,0.0,0.0,4.0,0.0,4.0,2.0,27443.0,3281.0,1.0,2004.0,0.0,30.552091,-84.212326,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,8834.0,1849.0,2.0,1950.0,0.0,33.805225,-84.409686,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,4356.0,1434.0,1.0,1966.0,0.0,32.362228,-86.312431,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,1.0,6098.0,1502.0,1.0,1971.0,0.0,43.648041,-116.237535,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,546.0,1.0,1965.0,3000.0,41.740349,-72.675591,0,0,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1040.0,1.0,1981.0,0.0,43.072179,-89.424097,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,8276.0,1475.0,1.0,2013.0,0.0,30.353025,-90.980399,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,3485.0,1768.0,2.0,2019.0,0.0,30.464863,-84.276673,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,2.0,0.0,4356.0,1230.0,2.0,1995.0,5000.0,35.805716,-78.545249,1,0,0,0,0,0,0,0,1,0
5.0,0.0,0.0,5.0,0.0,5.0,3.0,9583.0,3908.0,2.0,2017.0,0.0,40.734094,-96.630523,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,2.0,1.0,9905.0,4353.0,1.0,2004.0,0.0,33.64803,-112.040162,0,0,0,0,0,1,0,0,0,0
1.0,0.0,0.0,1.0,0.0,1.0,2.0,1497.0,1497.0,1.0,1920.0,0.0,42.345181,-71.042984,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,4.0,3.0,7858.0,1991.0,1.0,1994.0,0.0,30.479593,-91.00607,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,4.0,0.0,2461.0,1380.0,3.0,1925.0,0.0,40.224596,-74.727233,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,2.0,0.0,1307.0,1174.0,1.0,1991.0,0.0,30.534245,-84.217563,1,0,0,0,0,0,0,0,1,0
2.0,0.0,1.0,1.0,0.0,3.0,2.0,5445.0,1753.0,1.0,1951.0,0.0,44.949837,-93.035019,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8276.0,0.0,0.0,0.0,0.0,38.318442,-81.569243,0,0,0,0,1,0,0,0,0,0
